Position,Batsman,Matches,Innings,Runs,Average,Strike_rate,Fours,Sixes
1,Rahmanullah Gurbaz,8,8,281,35.12,124.34,18,16
2,Rohit Sharma,8,8,257,36.71,156.71,24,15
3,Travis Head,7,7,255,42.5,158.39,26,15
4,Quinton de Kock,9,9,243,27,140.46,21,13
5,Ibrahim Zadran,8,8,231,28.88,107.44,25,4
6,Nicholas Pooran,7,7,228,38,146.15,15,17
7,Andries Gous,6,6,219,43.8,151.03,20,11
8,Jos Buttler,8,7,214,42.8,158.52,22,10
9,Suryakumar Yadav,8,8,199,28.43,135.37,15,10
10,Heinrich Klaasen,9,8,190,31.67,126.67,9,13
11,Philip Salt,8,7,188,37.6,159.32,16,10
12,David Warner,7,7,178,29.67,139.06,17,9
13,Rishabh Pant,8,8,171,24.43,127.61,19,6
14,David Miller,9,8,169,28.17,102.42,10,8
15,Marcus Stoinis,7,5,169,42.25,164.08,14,10
